a	s	folder	dir	p	co_wes	note
A14629	T6295221R-RT	R21091468LU01	Project_s440e26771_6Samples_20210814_1628931068	P231462901	None	X22375,崔国伟
A14625	T6255451R-RT	R21091467LU01	Project_s440e26771_2Samples_20210814_1628931502	P231462501	P011462501	X22499,姚玲娟
A14641	T6412582R-RT	R21091472LU01	Project_s440e26771_6Samples_20210814_1628931068	P231464101	P011464101	X22563,黄世坤
A14611	T6111322R-RT	R21091465LU01	Project_s440e26771_6Samples_20210814_1628931068	P231461101	P011461101	X19114,贾新平
A14595	T5957702R-RT	R21091464LU01	Project_s440e26771_2Samples_20210814_1628931502	P231459501	P011459501	X22438,赵昕阳
A14640	T6405952R-RT	R21091471LU01	Project_s440e26771_6Samples_20210814_1628931068	P231464001	P011464001	X22502,孙欣妍
A14617	T6172711R-RT	R21091466LU01	Project_s440e26771_6Samples_20210814_1628931068	P231461701	None	X22374,郑昌龙
A14649	T6492332R-RT	R21092772LU01	Project_s440e26772_7Samples_20210816_	P231464901	P011464901	X20912,彭丽清
A14277	T2779011R-RT	R21092768LU01	Project_s440e26772_7Samples_20210816_	P231427701	None	X22148,包凯文
A14622	T6227842R-RT	R21092769LU01	Project_s440e26772_7Samples_20210816_	P231462201	P011462201	X20792,方吉祥
A14645	T6457881R-RT	R21092771LU01	Project_s440e26772_7Samples_20210816_	P231464501	P011464501	X22598,张风霞
A14644	T6449632R-RT	R21092770LU01	Project_s440e26772_7Samples_20210816_	P231464401	P011464401	X21105,稂端云
A14568	T5681781R-RT	R21087763LU01	Project_s440e26768_1Samples_20210805_1628171404	P231456801	P011456801	X22165,陈晨晖
A14649	T6492332R-RT	R21092772LU01	Project_s440e26772_7Samples_20210816_1629105348	P231464901	P011464901	X20912,彭丽清
A14277	T2779011R-RT	R21092768LU01	Project_s440e26772_7Samples_20210816_1629105348	P231427701	None	X22148,包凯文
A14622	T6227842R-RT	R21092769LU01	Project_s440e26772_7Samples_20210816_1629105348	P231462201	P011462201	X20792,方吉祥
A14645	T6457881R-RT	R21092771LU01	Project_s440e26772_7Samples_20210816_1629105348	P231464501	P011464501	X22598,张风霞
A14644	T6449632R-RT	R21092770LU01	Project_s440e26772_7Samples_20210816_1629105348	P231464401	P011464401	X21105,稂端云
A14702	T7028349	R21093801-LUPF210304-RL-T7028349	Project_s440g01347_1Samples_20210817_1629195905	P521470201	None	X20727,刘小萍
A14548	T5484231R-RT	R21084616LU02	Project_s440e26766_1Samples_20210814_1628943904	P231454801	P011454801	X20962,陈丽丽
A14673	T6738682R-RT	R21094213LU01	Project_s440e26773_2Samples_20210821_1629537904	P231467301	P011467301,P491467301	X20778,李连滨
A14692	T6923332R-RT	R21094216LU01	Project_s440e26773_7Samples_20210821_1629541517	P231469201	P491469201,P011469201	X20779,武有志
A14651	T6515242R-RT	R21094209LU01	Project_s440e26773_2Samples_20210821_1629537904	P231465101	P491465101,P011465101	X20777,许前海
A14693	T6933762R-RT	R21094217LU01	Project_s440e26773_7Samples_20210821_1629541517	P231469301	P491469301,P011469301	X20780,李增光
A14672	T6728741R-RT	R21094212LU01	Project_s440e26773_7Samples_20210821_1629541517	P231467201	P411467201,P011467201,P491467201	X22565,王呈佳
A14560	T5607571R-RT	R21094208LU01	Project_s440e26773_7Samples_20210821_1629541517	P231456001	None	X22246,连建文
A14668	T6685771R-RT	R21094211LU01	Project_s440e26773_7Samples_20210821_1629541517	P231466801	P011466801,P491466801	X22107,洪奕玲
A14665	T6656328R-RT	R21094210LU01	Project_s440e26773_7Samples_20210821_1629541517	P231466501	P011466501,P491466501	X22106,区燕娴
A14687	T6878061R-RT	R21094215LU01	Project_s440e26773_7Samples_20210821_1629541517	P231468701	P491468701,P011468701	X22462,张素芬
A14696	T6967222R-RT	R21094218LU01	Project_s440e26773_2Samples_20210822_1629609903	P231469601	P151469601,P011469601,P491469601	X22569,赵语乐
A14679	T6797831R-RT	R21094214LU01	Project_s440e26773_2Samples_20210822_1629609903	P231467901	None	X22445,宋佳宪
A14673	T6738682R-RT	R21094213LU01	Project_s440e26773_2Samples_20210821_1629537904	P231467301	P011467301	X20778,李连滨
A14692	T6923332R-RT	R21094216LU01	Project_s440e26773_7Samples_20210821_1629541517	P231469201	P011469201	X20779,武有志
A14651	T6515242R-RT	R21094209LU01	Project_s440e26773_2Samples_20210821_1629537904	P231465101	P011465101	X20777,许前海
A14693	T6933762R-RT	R21094217LU01	Project_s440e26773_7Samples_20210821_1629541517	P231469301	P011469301	X20780,李增光
A14672	T6728741R-RT	R21094212LU01	Project_s440e26773_7Samples_20210821_1629541517	P231467201	P011467201	X22565,王呈佳
A14668	T6685771R-RT	R21094211LU01	Project_s440e26773_7Samples_20210821_1629541517	P231466801	P011466801	X22107,洪奕玲
A14665	T6656328R-RT	R21094210LU01	Project_s440e26773_7Samples_20210821_1629541517	P231466501	P011466501	X22106,区燕娴
A14687	T6878061R-RT	R21094215LU01	Project_s440e26773_7Samples_20210821_1629541517	P231468701	P011468701	X22462,张素芬
A14696	T6967222R-RT	R21094218LU01	Project_s440e26773_2Samples_20210822_1629609903	P231469601	P011469601	X22569,赵语乐
A00001	P07-817R-RT	R21092774LU01	Project_s440e26772_7Samples_20210818_1629253504	P23KY00001	None	None,None
A00002	P2012-624R-RT	R21092773LU01	Project_s440e26772_7Samples_20210818_1629253504	P23KY00002	None	None,None
A14697	T6973271R-RT	R21094862LU01	Project_s440e26774_2Samples_20210823_1629704488	P231469701	None	X22434,李志桢
A14700	T7005062R-RT	R21094863LU01	Project_s440e26774_2Samples_20210823_1629704488	P231470001	P011470001	X20781,赵润秋
A13070	T0702262R-RT	R21096997LU01	Project_s440e26775_2Samples_20210829_1630214704	P231307002	P011307002	X20226,芮长华
A14629	T6295221R-RT	R21096998LU01	Project_s440e26775_2Samples_20210829_1630214704	P231462901	None	X22375,崔国伟
A14737	T7379352R-RT	R21098536LU01	Project_s440e26776_3Samples_20210830_1630320762	P231473701	P011473701	X20789,江承湖
A14721	T7219952R-RT	R21098535LU01	Project_s440e26776_3Samples_20210830_1630320762	P231472101	P011472101	X22700,姚泽远
A14744	T7444062R-RT	R21098537LU01	Project_s440e26776_3Samples_20210830_1630320762	P231474401	P011474401	X22698,李兆勇
A14643	T6436571R-RT	R21097000LU01	Project_s440e26775_9Samples_20210901_1630479791	P231464301	P011464301	X22105,贺品
A14713	T7137231R-RT	R21097006LU01	Project_s440e26775_9Samples_20210901_1630479791	P231471301	None	X22376,周恩海
A14709	T7095822R-RT	R21097003LU01	Project_s440e26775_9Samples_20210901_1630479791	P231470901	P011470901	X20782,王兆珍
A14712	T7121672R-RT	R21097005LU01	Project_s440e26775_9Samples_20210901_1630479791	P231471201	P011471201	X20790,史德明
A14646	T6465941R-RT	R21097001LU01	Project_s440e26775_9Samples_20210901_1630479791	P231464601	None	X22431,范哲睿
A14711	T7112262R-RT	R21097004LU01	Project_s440e26775_9Samples_20210901_1630479791	P231471101	P011471101	X20791,蒋志琴
A14727	T7275122R-RT	R21097007LU01	Project_s440e26775_9Samples_20210901_1630479791	P231472701	P011472701	X22571,高庆旭
A14733	T7336801R-RT	R21097008LU01	Project_s440e26775_9Samples_20210901_1630479791	P231473301	P011473301	X22110,梁照峰
A14633	T6339241R-RT	R21096999LU02	Project_s440e26775_1Samples_20210902_1630572609	P231463301	None	X22439,周圣岚
A90005	T0062461R-RT	R21092774LU01	Project_s440e26772_7Samples_20210818_1629253504	P239000501	None	None,None
A90006	T0062461R-RT	R21092773LU01	Project_s440e26772_7Samples_20210818_1629253504	P239000601	None	None,None
A03514	T5149702-RT	R21099277LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0351401	None	None,None
A03752	T7529322-RT	R21099279LU01	Project_s440e26777_57Samples_20210902_1630580773	P23KYA0375201	None	None,None
A04400	T4005011R-RT	R21099303LU01	Project_s440e26777_57Samples_20210902_1630580774	P23KYA0440001	None	None,None
A04410	T4105731R-RT	R21099304LU01	Project_s440e26777_57Samples_20210902_1630580775	P23KYA0441001	None	None,None
A04524	T5247791R-RT	R21099307LU01	Project_s440e26777_57Samples_20210902_1630580776	P23KYA0452401	None	None,None
A04525	T5257461R-RT	R21099308LU01	Project_s440e26777_57Samples_20210902_1630580777	P23KYA0452501	None	None,None
A04776	T7764501R-RT	R21099316LU01	Project_s440e26777_57Samples_20210902_1630580778	P23KYA0477601	None	None,None
A05285	T2857351R-RT	R21099331LU01	Project_s440e26777_57Samples_20210902_1630580779	P23KYA0528501	None	None,None
A03643	T6434582-RT	R21099278LU01	Project_s440e26777_57Samples_20210902_1630580780	P23KYA0364301	None	None,None
A03862	T8621182-RT	R21099280LU01	Project_s440e26777_57Samples_20210902_1630580781	P23KYA0386201	None	None,None
A03966	T9667532-RT	R21099281LU01	Project_s440e26777_57Samples_20210902_1630580782	P23KYA0396601	None	None,None
A04123	T1234362-RT	R21099282LU01	Project_s440e26777_57Samples_20210902_1630580783	P23KYA0412301	None	None,None
A04292	T2927562-RT	R21099283LU01	Project_s440e26777_57Samples_20210902_1630580784	P23KYA0429201	None	None,None
A04466	T4666202-RT	R21099284LU01	Project_s440e26777_57Samples_20210902_1630580785	P23KYA0446601	None	None,None
A04506	T5061072-RT	R21099285LU01	Project_s440e26777_57Samples_20210902_1630580786	P23KYA0450601	None	None,None
A03514	T5148102-RT	R21099286LU01	Project_s440e26777_57Samples_20210902_1630580787	P23KYA0351401	None	None,None
A05566	T5664601-RT	R21099287LU01	Project_s440e26777_57Samples_20210902_1630580788	P23KYA0556601	None	None,None
A05834	T8342171-RT	R21099288LU01	Project_s440e26777_57Samples_20210902_1630580789	P23KYA0583401	None	None,None
A04317	T3177331-RT	R21099290LU01	Project_s440e26777_57Samples_20210902_1630580790	P23KYA0431701	None	None,None
A04330	T3306811-RT	R21099291LU01	Project_s440e26777_57Samples_20210902_1630580791	P23KYA0433001	None	None,None
A04370	T3709431-RT	R21099292LU01	Project_s440e26777_57Samples_20210902_1630580792	P23KYA0437001	None	None,None
A03503	T5039131-RT	R21099293LU01	Project_s440e26777_57Samples_20210902_1630580793	P23KYA0350301	None	None,None
A03285	T2851931-RT	R21099294LU01	Project_s440e26777_57Samples_20210902_1630580794	P23KYA0328501	None	None,None
A03570	T5708561-RT	R21099295LU01	Project_s440e26777_57Samples_20210902_1630580795	P23KYA0357001	None	None,None
A03583	T5833481-RT	R21099296LU01	Project_s440e26777_57Samples_20210902_1630580796	P23KYA0358301	None	None,None
A03802	T8025821-RT	R21099299LU01	Project_s440e26777_57Samples_20210902_1630580797	P23KYA0380201	None	None,None
A04111	T1115831-RT	R21099300LU01	Project_s440e26777_57Samples_20210902_1630580798	P23KYA0411101	None	None,None
A04631	T6311851R-RT	R21099310LU01	Project_s440e26777_57Samples_20210902_1630580799	P23KYA0463101	None	None,None
A03944	T9444341R-RT	R21099311LU01	Project_s440e26777_57Samples_20210902_1630580800	P23KYA0394401	None	None,None
A04657	T6578951R-RT	R21099312LU01	Project_s440e26777_57Samples_20210902_1630580801	P23KYA0465701	None	None,None
A04714	T7142421R-RT	R21099313LU01	Project_s440e26777_57Samples_20210902_1630580802	P23KYA0471401	None	None,None
A04713	T7137271R-RT	R21099314LU01	Project_s440e26777_57Samples_20210902_1630580803	P23KYA0471301	None	None,None
A04713	T7136531R-RT	R21099315LU01	Project_s440e26777_57Samples_20210902_1630580804	P23KYA0471301	None	None,None
A04906	T9068521R-RT	R21099317LU01	Project_s440e26777_57Samples_20210902_1630580805	P23KYA0490601	None	None,None
A04966	T9667211R-RT	R21099318LU01	Project_s440e26777_57Samples_20210902_1630580806	P23KYA0496601	None	None,None
A05167	T1676371R-RT	R21099319LU01	Project_s440e26777_57Samples_20210902_1630580807	P23KYA0516702	None	None,None
A05183	T1833951R-RT	R21099320LU01	Project_s440e26777_57Samples_20210902_1630580808	P23KYA0518301	None	None,None
A05267	T2677161R-RT	R21099321LU01	Project_s440e26777_57Samples_20210902_1630580809	P23KYA0526701	None	None,None
A05299	T2993811R-RT	R21099322LU01	Project_s440e26777_57Samples_20210902_1630580810	P23KYA0529901	None	None,None
A05321	T3215801R-RT	R21099324LU01	Project_s440e26777_57Samples_20210902_1630580811	P23KYA0532101	None	None,None
A05376	T3767941R-RT	R21099326LU01	Project_s440e26777_57Samples_20210902_1630580812	P23KYA0537601	None	None,None
A05285	T2858061R-RT	R21099327LU01	Project_s440e26777_57Samples_20210902_1630580813	P23KYA0528501	None	None,None
A06076	T0767461R-RT	R21099329LU01	Project_s440e26777_57Samples_20210902_1630580814	P23KYA0607601	None	None,None
A05306	T3061901R-RT	R21099330LU01	Project_s440e26777_57Samples_20210902_1630580815	P23KYA0530601	None	None,None
A05507	T5079791R-RT	R21099332LU01	Project_s440e26777_57Samples_20210902_1630580816	P23KYA0550701	None	None,None
A09111	T1118942R-RT	R21099341LU01	Project_s440e26777_57Samples_20210902_1630580817	P23KYA0911101	None	None,None
A05934	T9345718R-RT	R21099342LU01	Project_s440e26777_57Samples_20210902_1630580818	P23KYA0593402	None	None,None
A09475	T4759472R-RT	R21099343LU01	Project_s440e26777_57Samples_20210902_1630580819	P23KYA0947501	None	None,None
A09719	T7195338R-RT	R21099344LU01	Project_s440e26777_57Samples_20210902_1630580820	P23KYA0971901	None	None,None
A04177	T1778171-RT	R21099301LU01	Project_s440e26777_57Samples_20210902_1630580821	P23KYA0417701	None	None,None
A04168	T1684081-RT	R21099302LU01	Project_s440e26777_57Samples_20210902_1630580822	P23KYA0416801	None	None,None
A04439	T4398421R-RT	R21099305LU01	Project_s440e26777_57Samples_20210902_1630580823	P23KYA0443901	None	None,None
A04438	T4381771R-RT	R21099306LU01	Project_s440e26777_57Samples_20210902_1630580824	P23KYA0443801	None	None,None
A06840	T8401228R-RT	R21099335LU01	Project_s440e26777_57Samples_20210902_1630580825	P23KYA0684001	None	None,None
A06854	T8548912R-RT	R21099336LU01	Project_s440e26777_57Samples_20210902_1630580826	P23KYA0685401	None	None,None
A08461	T4612658R-RT	R21099339LU01	Project_s440e26777_57Samples_20210902_1630580827	P23KYA0846101	None	None,None
A09072	T0726592R-RT	R21099340LU01	Project_s440e26777_57Samples_20210902_1630580828	P23KYA0907201	None	None,None
A03752	T7529322-RT	R21099279LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0375201	None	None,None
A04400	T4005011R-RT	R21099303LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0440001	None	None,None
A04410	T4105731R-RT	R21099304LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0441001	None	None,None
A04524	T5247791R-RT	R21099307LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0452401	None	None,None
A04525	T5257461R-RT	R21099308LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0452501	None	None,None
A04776	T7764501R-RT	R21099316LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0477601	None	None,None
A05285	T2857351R-RT	R21099331LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0528501	None	None,None
A03643	T6434582-RT	R21099278LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0364301	None	None,None
A03862	T8621182-RT	R21099280LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0386201	None	None,None
A03966	T9667532-RT	R21099281LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0396601	None	None,None
A04123	T1234362-RT	R21099282LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0412301	None	None,None
A04292	T2927562-RT	R21099283LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0429201	None	None,None
A04466	T4666202-RT	R21099284LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0446601	None	None,None
A04506	T5061072-RT	R21099285LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0450601	None	None,None
A03514	T5148102-RT	R21099286LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0351401	None	None,None
A05566	T5664601-RT	R21099287LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0556601	None	None,None
A05834	T8342171-RT	R21099288LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0583401	None	None,None
A04317	T3177331-RT	R21099290LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0431701	None	None,None
A04330	T3306811-RT	R21099291LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0433001	None	None,None
A04370	T3709431-RT	R21099292LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0437001	None	None,None
A03503	T5039131-RT	R21099293LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0350301	None	None,None
A03285	T2851931-RT	R21099294LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0328501	None	None,None
A03570	T5708561-RT	R21099295LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0357001	None	None,None
A03583	T5833481-RT	R21099296LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0358301	None	None,None
A03802	T8025821-RT	R21099299LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0380201	None	None,None
A04111	T1115831-RT	R21099300LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0411101	None	None,None
A04631	T6311851R-RT	R21099310LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0463101	None	None,None
A03944	T9444341R-RT	R21099311LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0394401	None	None,None
A04657	T6578951R-RT	R21099312LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0465701	None	None,None
A04714	T7142421R-RT	R21099313LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0471401	None	None,None
A04713	T7137271R-RT	R21099314LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0471301	None	None,None
A04713	T7136531R-RT	R21099315LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0471301	None	None,None
A04906	T9068521R-RT	R21099317LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0490601	None	None,None
A04966	T9667211R-RT	R21099318LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0496601	None	None,None
A05167	T1676371R-RT	R21099319LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0516702	None	None,None
A05183	T1833951R-RT	R21099320LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0518301	None	None,None
A05267	T2677161R-RT	R21099321LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0526701	None	None,None
A05299	T2993811R-RT	R21099322LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0529901	None	None,None
A05321	T3215801R-RT	R21099324LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0532101	None	None,None
A05376	T3767941R-RT	R21099326LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0537601	None	None,None
A05285	T2858061R-RT	R21099327LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0528501	None	None,None
A06076	T0767461R-RT	R21099329LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0607601	None	None,None
A05306	T3061901R-RT	R21099330LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0530601	None	None,None
A05507	T5079791R-RT	R21099332LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0550701	None	None,None
A09111	T1118942R-RT	R21099341LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0911101	None	None,None
A05934	T9345718R-RT	R21099342LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0593402	None	None,None
A09475	T4759472R-RT	R21099343LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0947501	None	None,None
A09719	T7195338R-RT	R21099344LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0971901	None	None,None
A04177	T1778171-RT	R21099301LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0417701	None	None,None
A04168	T1684081-RT	R21099302LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0416801	None	None,None
A04439	T4398421R-RT	R21099305LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0443901	None	None,None
A04438	T4381771R-RT	R21099306LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0443801	None	None,None
A06840	T8401228R-RT	R21099335LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0684001	None	None,None
A06854	T8548912R-RT	R21099336LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0685401	None	None,None
A08461	T4612658R-RT	R21099339LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0846101	None	None,None
A09072	T0726592R-RT	R21099340LU01	Project_s440e26777_57Samples_20210902_1630580772	P23KYA0907201	None	None,None
A14753	T7537621R-RT	R21101637LU01	Project_s440e26778_6Samples_20210904_1630758991	P231475301	None	X22436,许嘉桐
A14717	T7174182R-RT	R21101635LU01	Project_s440e26778_6Samples_20210904_1630758991	P231471701	P011471701	X22318,韩淑琴
A14781	T7819972R-RT	R21101641LU01	Project_s440e26778_6Samples_20210904_1630758991	P231478101	P011478101	X22578,丁水兴
A14770	T7706525R-RT	R21101638LU01	Project_s440e26778_6Samples_20210904_1630758991	P231477001	None	X21641,RNA-04
A14772	T7725635R-RT	R21101640LU01	Project_s440e26778_6Samples_20210904_1630758991	P231477201	None	X21643,RNA-06
A14771	T7719915R-RT	R21101639LU01	Project_s440e26778_6Samples_20210904_1630758991	P231477101	None	X21642,RNA-05
A14806	T8065279	R21101092-MDX210375-RL-T8065279	Project_s440g01361_6Samples_20210902_1630576686	P521480601	None	X20735,LD1-0005-410988
A14802	T8021489	R21101093-MDX210381-RL-T8021489	Project_s440g01361_1Samples_20210902_1630579851	P521480201	None	X20736,LD1-0005-410994
A14803	T8034439	R21101094-MDX210387-RL-T8034439	Project_s440g01361_6Samples_20210902_1630576686	P521480301	None	X20737,LD1-0005-411000
A14801	T8013149	R21101095-MDX210362-RL-T8013149	Project_s440g01361_6Samples_20210902_1630576686	P521480101	None	X20732,LD1-0005-410975
A14800	T8007239	R21101089-MDX210360-RL-T8007239	Project_s440g01361_1Samples_20210902_1630579807	P521480001	None	X20729,LD1-0005-410973
A14799	T7992979	R21101088-MDX210359-RL-T7992979	Project_s440g01361_6Samples_20210902_1630576686	P521479901	None	X20728,LD1-0005-410972
A14804	T8047419	R21101090-MDX210368-RL-T8047419	Project_s440g01361_6Samples_20210902_1630576686	P521480401	None	X20733,LD1-0005-410981
A14805	T8058549	R21101091-MDX210374-RL-T8058549	Project_s440g01361_6Samples_20210902_1630576686	P521480501	None	X20734,LD1-0005-410987
A05467	T4677828R-RT	R21099333LU01	Project_s440e26777_4Samples_20210903_1630655407	P23KYA0546701	None	None,None
A06451	T4515628R-RT	R21099334LU01	Project_s440e26777_4Samples_20210903_1630655407	P23KYA0645101	None	None,None
A06805	T8051792R-RT	R21099337LU01	Project_s440e26777_4Samples_20210903_1630655407	P23KYA0680501	None	None,None
A07721	T7218948R-RT	R21099338LU01	Project_s440e26777_4Samples_20210903_1630655407	P23KYA0772101	None	None,None
A14796	T7966252R-RT	R21102538LU01	Project_s440e26780_4Samples_20210906_1630920304	P231479601	P011479601	X22581,屈雨涵
A14786	T7866882R-RT	R21102536LU01	Project_s440e26780_4Samples_20210906_1630920304	P231478601	P011478601	X20786,陈峰
A14784	T7843022R-RT	R21102535LU01	Project_s440e26780_4Samples_20210906_1630920304	P231478401	P011478401	X20787,崔意平
A14750	T7507001R-RT	R21102534LU01	Project_s440e26780_1Samples_20210906_1630915206	P231475001	P011475001	X22696,端木乐善
A14789	T7895882R-RT	R21102537LU01	Project_s440e26780_4Samples_20210906_1630920304	P231478901	P011478901	X20783,吴宏
A14827	T8279438R-RT	R21104238LU01	Project_s440e26782_10Samples_20210911_1631357405	P231482701	P011482701	X22688,魏伟娇
A14816	T8162142R-RT	R21104235LU01	Project_s440e26782_10Samples_20210911_1631357405	P231481601	P011481601	X20784,宛冬梅
A14826	T8266532R-RT	R21104237LU01	Project_s440e26782_2Samples_20210911_1631358006	P231482601	P011482601	X22784,章绍彬
A14835	T8356522R-RT	R21104240LU01	Project_s440e26782_1Samples_20210911_1631358006	P231483501	P011483501	X22762,刘建香
A14752	T7521012R1-RT	R21104227LU01	Project_s440e26782_10Samples_20210911_1631357405	P231475201	P011475201	X21075,刘凌春
A14798	T7985781R-RT	R21104233LU01	Project_s440e26782_10Samples_20210911_1631357405	P231479801	None	X23646,吴政颉
A14785	T7858031R-RT	R21104231LU01	Project_s440e26782_10Samples_20210911_1631357405	P231478501	None	X22435,赵希妍
A14809	T8097101R-RT	R21104234LU01	Project_s440e26782_10Samples_20210911_1631357405	P231480901	P011480901	X22003,金瑜婕
A14822	T8227761R-RT	R21104236LU01	Project_s440e26782_2Samples_20210911_1631358006	P231482201	P011482201	X22691,陈浩
A14833	T8337492R-RT	R21104239LU01	Project_s440e26782_10Samples_20210911_1631357405	P231483301	P011483301	X20785,蔡勤
A14758	T7588501R-RT	R21104228LU01	Project_s440e26782_10Samples_20210911_1631357405	P231475801	P011475801	X21294,张薇
A14794	T7949791R-RT	R21104232LU01	Project_s440e26782_10Samples_20210911_1631357405	P231479401	None	X22378,蔡玲玲
A14760	T7601151R-RT	R21105194LU01	Project_s440e26783_56Samples_20210913_1631530204	P231476001	None	X22377,阮丽华
A14825	T8258582R2-RT	R21105198LU01	Project_s440e26783_56Samples_20210913_1631530204	P231482501	P011482501	X22785,王曼妮
A14812	T8126121R-RT	R21105195LU01	Project_s440e26783_56Samples_20210913_1631530204	P231481201	P011481201	X21293,郭寅昆
A14735	T7353371R-RT	R21105193LU01	Project_s440e26783_56Samples_20210913_1631530204	P231473501	P011473501	X22109,胡啟彬
A14842	T8425931R-RT	R21105199LU01	Project_s440e26783_56Samples_20210913_1631530204	P231484201	None	X22458,张舒嘉
A14847	T8479599	R21104051-MDX210416-RL-T8479599	Project_s440g01368_1Samples_20210909_1631180378	P521484701	None	X20738,袁成鹏
A14770	T7706525R-RT	R21101638LU02	Project_s440e26778_1Samples_20210919_163204710P231477001	None	X21641,RNA-04	
A14772	T7725635R-RT	R21101640LU02	Project_s440e26778_2Samples_20210918_163195389P231477201	None	X21643,RNA-06	
A14771	T7719915R-RT	R21101639LU02	Project_s440e26778_2Samples_20210918_163195389P231477101	None	X21642,RNA-05	
A14770	T7706525R-RT	R21101638LU02	Project_s440e26778_1Samples_20210919_163204710	P231477001	None	X21641,RNA-04
A14772	T7725635R-RT	R21101640LU02	Project_s440e26778_2Samples_20210918_163195389	P231477201	None	X21643,RNA-06
A14771	T7719915R-RT	R21101639LU02	Project_s440e26778_2Samples_20210918_163195389	P231477101	None	X21642,RNA-05
A14770	T7706525R-RT	R21101638LU02	Project_s440e26778_1Samples_20210919_1632047104	P231477001	None	X21641,RNA-04
A14772	T7725635R-RT	R21101640LU02	Project_s440e26778_2Samples_20210918_1631953898	P231477201	None	X21643,RNA-06
A14771	T7719915R-RT	R21101639LU02	Project_s440e26778_2Samples_20210918_1631953898	P231477101	None	X21642,RNA-05
A14859	T8595371R-RT	R21107111LU01	Project_s440e26784_14Samples_20210918_1631953609	P231485901	P011485901	X22686,钱国强
A14790	T7901961R-RT	R21107108LU01	Project_s440e26784_1Samples_20210918_1631955004	P231479001	P011479001	X21291,张彩英
A14867	T8672132R-RT	R21107112LU01	Project_s440e26784_14Samples_20210918_1631953609	P231486701	P011486701	X22642,于照罗
A14874	T8741691R-RT	R21107115LU01	Project_s440e26784_14Samples_20210918_1631953609	P231487401	None	X22380,李帅
A14872	T8728232R-RT	R21107114LU01	Project_s440e26784_14Samples_20210918_1631953609	P231487201	P011487201	X22790,陈婕
A14680	T6801051R-RT	R21107107LU01	Project_s440e26784_14Samples_20210918_1631953609	P231468001	None	X22446,王永昌
