"","V1","V2"
"260","TRAPPC9","NK CD56bright cells"
"261","PLA2G6","NK CD56bright cells"
"262","RRAD","NK CD56bright cells"
"263","XCL1","NK CD56bright cells"
"264","S1PR5","NK CD56dim cells"
"265","GTF3C1","NK CD56dim cells"
"266","GZMB","NK CD56dim cells"
"267","IL21R","NK CD56dim cells"
"268","KIR2DL3","NK CD56dim cells"
"269","KIR3DL1","NK CD56dim cells"
"270","KIR3DL2","NK CD56dim cells"
"271","KIR3DL3","NK CD56dim cells"
"272","SPON2","NK CD56dim cells"
"273","PMEPA1","NK CD56dim cells"
"274","ADARB1","NK cells"
"275","ALDH1B1","NK cells"
"276","APBB2","NK cells"
"277","ATL2","NK cells"
"278","BCL2","NK cells"
"279","CDC5L","NK cells"
"280","FGF18","NK cells"
"281","FUT5","NK cells"
"282","FZR1","NK cells"
"283","GAGE2A","NK cells"
"284","IGFBP5","NK cells"
"285","KANK2","NK cells"
"286","LDB3","NK cells"
"287","MAPRE3","NK cells"
"288","MCM3AP","NK cells"
"289","MRC2","NK cells"
"290","NCR1","NK cells"
"291","PDLIM4","NK cells"
"292","PRX","NK cells"
"293","PSMD4","NK cells"
"294","SGMS1","NK cells"
"295","SLC30A5","NK cells"
"296","SMEK1","NK cells"
"297","SPN","NK cells"
"298","TBXA2R","NK cells"
"299","TCTN2","NK cells"
"300","TINAGL1","NK cells"
"301","TRPV6","NK cells"
"302","XCL1","NK cells"
"303","XCL2","NK cells"
"304","ZNF205","NK cells"
"305","ZNF528","NK cells"
"306","ZNF747","NK cells"
"307","IL3RA","pDC"
"308","BCL11B","T cells"
"309","CD2","T cells"
"310","CD28","T cells"
"311","CD3D","T cells"
"312","CD3E","T cells"
"313","CD3G","T cells"
"314","CD6","T cells"
"315","CD96","T cells"
"316","GIMAP5","T cells"
"317","ITM2A","T cells"
"318","LCK","T cells"
"319","NCALD","T cells"
"320","PRKCQ","T cells"
"321","SH2D1A","T cells"
"322","SKAP1","T cells"
"323","TRAC","T cells"
"324","TRAT1","T cells"
"325","ANP32B","T helper cells"
"326","ASF1A","T helper cells"
"327","ATF2","T helper cells"
"328","BATF","T helper cells"
"329","BORA","T helper cells"
"330","CD28","T helper cells"
"331","DDX50","T helper cells"
"332","FAM111A","T helper cells"
"333","FRYL","T helper cells"
"334","GOLGA8A","T helper cells"
"335","ICOS","T helper cells"
"336","ITM2A","T helper cells"
"337","LRBA","T helper cells"
"338","NAP1L4","T helper cells"
"339","NUP107","T helper cells"
"340","PHF10","T helper cells"
"341","PPP2R5C","T helper cells"
"342","RPA1","T helper cells"
"343","SEC24C","T helper cells"
"344","SLC25A12","T helper cells"
"345","SRSF10","T helper cells"
"346","UBE2L3","T helper cells"
"347","YME1L1","T helper cells"
"348","AQP3","Tcm cells"
"349","ATF7IP","Tcm cells"
"350","ATM","Tcm cells"
"351","CASP8","Tcm cells"
"352","CDC14A","Tcm cells"
"353","CEP68","Tcm cells"
"354","CLUAP1","Tcm cells"
"355","CREBZF","Tcm cells"
"356","CYLD","Tcm cells"
"357","DOCK9","Tcm cells"
"358","FAM153B","Tcm cells"
"359","FOXP1","Tcm cells"
"360","FYB","Tcm cells"
"361","HNRNPH1","Tcm cells"
"362","INPP4B","Tcm cells"
"363","KLF12","Tcm cells"
"364","MAP3K1","Tcm cells"
"365","KMT2A","Tcm cells"
"366","NEFL","Tcm cells"
"367","NFATC3","Tcm cells"
"368","PCM1","Tcm cells"
"369","PCNX","Tcm cells"
"370","PDXDC2P","Tcm cells"
"371","PHC3","Tcm cells"
"372","POLR2J2","Tcm cells"
"373","PSPC1","Tcm cells"
"374","REPS1","Tcm cells"
"375","RPP38","Tcm cells"
"376","SLC7A6","Tcm cells"
"377","SNRPN","Tcm cells"
"378","ST3GAL1","Tcm cells"
"379","STX16","Tcm cells"
"380","TIMM8A","Tcm cells"
"381","TRAF3IP3","Tcm cells"
"382","TXK","Tcm cells"
"383","USP9Y","Tcm cells"
"384","AKT3","Tem cells"
"385","CCR2","Tem cells"
"386","DDX17","Tem cells"
"387","EWSR1","Tem cells"
"388","FLI1","Tem cells"
"389","GDPD5","Tem cells"
"390","LTK","Tem cells"
"391","MEFV","Tem cells"
"392","NFATC4","Tem cells"
"393","PRKY","Tem cells"
"394","TBC1D5","Tem cells"
"395","TBCD","Tem cells"
"396","EZR","Tem cells"
"397","B3GAT1","Tfh cells"
"398","CXCR5","Tfh cells"
"399","LDLRAD4","Tfh cells"
"400","CDK5R1","Tfh cells"
"401","CHGB","Tfh cells"
"402","CHI3L2","Tfh cells"
"403","CXCL13","Tfh cells"
"404","HEY1","Tfh cells"
"405","HIST1H4K","Tfh cells"
"406","ICA1","Tfh cells"
"407","KCNK5","Tfh cells"
"408","KIAA1324","Tfh cells"
"409","MAF","Tfh cells"
"410","MAGEH1","Tfh cells"
"411","MKL2","Tfh cells"
"412","MYO6","Tfh cells"
"413","MYO7A","Tfh cells"
"414","PASK","Tfh cells"
"415","PDCD1","Tfh cells"
"416","POMT1","Tfh cells"
"417","PTPN13","Tfh cells"
"418","PVALB","Tfh cells"
"419","SH3TC1","Tfh cells"
"420","SIRPG","Tfh cells"
"421","SLC7A10","Tfh cells"
"422","SMAD1","Tfh cells"
"423","ST8SIA1","Tfh cells"
"424","STK39","Tfh cells"
"425","THADA","Tfh cells"
"426","TOX","Tfh cells"
"427","TSHR","Tfh cells"
"428","ZNF764","Tfh cells"
"429","C1orf61","Tgd cells"
"430","CD160","Tgd cells"
"431","FEZ1","Tgd cells"
"432","TRGV9","Tgd cells"
"433","APBB2","Th1 cells"
"434","APOD","Th1 cells"
"435","ATP9A","Th1 cells"
"436","BST2","Th1 cells"
"437","BTG3","Th1 cells"
"438","CCL4","Th1 cells"
"439","CD38","Th1 cells"
"440","CD70","Th1 cells"
"441","CMAHP","Th1 cells"
"442","CSF2","Th1 cells"
"443","CTLA4","Th1 cells"
"444","DGKI","Th1 cells"
"445","DOK5","Th1 cells"
"446","DPP4","Th1 cells"
"447","DUSP5","Th1 cells"
"448","EGFL6","Th1 cells"
"449","GGT1","Th1 cells"
"450","HBEGF","Th1 cells"
"451","IFNG","Th1 cells"
"452","IL12RB2","Th1 cells"
"453","IL22","Th1 cells"
"454","LRP8","Th1 cells"
"455","LRRN3","Th1 cells"
"456","LTA","Th1 cells"
"457","SGCB","Th1 cells"
"458","SYNGR3","Th1 cells"
"459","ZBTB32","Th1 cells"
"460","IL17A","Th17 cells"
"461","IL17RA","Th17 cells"
"462","RORC","Th17 cells"
"463","ADCY1","Th2 cells"
"464","AHI1","Th2 cells"
"465","ANK1","Th2 cells"
"466","BIRC5","Th2 cells"
"467","CDC25C","Th2 cells"
"468","CDC7","Th2 cells"
"469","CENPF","Th2 cells"
"470","CXCR6","Th2 cells"
"471","DHFR","Th2 cells"
"472","EVI5","Th2 cells"
"473","GATA3","Th2 cells"
"474","GSTA4","Th2 cells"
"475","HELLS","Th2 cells"
"476","IL26","Th2 cells"
"477","LAIR2","Th2 cells"
"478","LIMA1","Th2 cells"
"479","MB","Th2 cells"
"480","MICAL2","Th2 cells"
"481","NEIL3","Th2 cells"
"482","PHEX","Th2 cells"
"483","PMCH","Th2 cells"
"484","PTGIS","Th2 cells"
"485","SLC39A14","Th2 cells"
"486","SMAD2","Th2 cells"
"487","SNRPD1","Th2 cells"
"488","WDHD1","Th2 cells"
"489","FOXP3","Treg cells"
"490","CDH5","Angiogenesis"
"491","ELTD1","Angiogenesis"
"492","CLEC14A","Angiogenesis"
"493","LDB2","Angiogenesis"
"494","ECSCR","Angiogenesis"
"495","MYCT1","Angiogenesis"
"496","RHOJ","Angiogenesis"
"497","VWF","Angiogenesis"
"498","TIE1","Angiogenesis"
"499","KDR","Angiogenesis"
"500","ESAM","Angiogenesis"
"501","PTPRB","Angiogenesis"
"502","GPR116","Angiogenesis"
"503","SPARCL1","Angiogenesis"
"504","EMCN","Angiogenesis"
"505","ROBO4","Angiogenesis"
"506","ENG","Angiogenesis"
"507","TEK","Angiogenesis"
"508","S1PR1","Angiogenesis"
"509","A2M","Angiogenesis"
"510","JAM2","Angiogenesis"
"511","COL15A1","Angiogenesis"
"512","CALCRL","Angiogenesis"
"513","CLEC3B","Angiogenesis"
"514","PLVAP","Angiogenesis"
"515","RGS5","Angiogenesis"
"516","LRRC32","Angiogenesis"
"517","EBF1","Angiogenesis"
"518","ADCY4","Angiogenesis"
"519","ACVRL1","Angiogenesis"
"520","GPR124","Angiogenesis"
"521","APLNR","Angiogenesis"
"522","TM4SF18","Angiogenesis"
"523","GNG11","Angiogenesis"
"524","CNRIP1","Angiogenesis"
"525","ZNF423","Angiogenesis"
"526","GIMAP8","Angiogenesis"
"527","PDGFD","Angiogenesis"
"528","ITGA9","Angiogenesis"
"529","EDNRB","Angiogenesis"
"530","HLA-A","Antigen presenting machinery class"
"531","HLA-B","Antigen presenting machinery class"
"532","HLA-C","Antigen presenting machinery class"
"533","B2M","Antigen presenting machinery class"
"534","TAP1","Antigen presenting machinery class"
"535","TAP2","Antigen presenting machinery class"
"536","TAPBP","Antigen presenting machinery class"
"537","ADORA3","MDSC"
"538","C11orf96","MDSC"
"539","ARG1","MDSC"
"540","BIN2","MDSC"
"541","C1orf162","MDSC"
"542","CAPS","MDSC"
"543","KIT","MDSC"
"544","ITGAX","MDSC"
"545","IL4R","MDSC"
"546","CD14","MDSC"
"547","FUT4","MDSC"
"548","CD163L1","MDSC"
"549","CD1D","MDSC"
"550","CR2","MDSC"
"551","FCER2","MDSC"
"552","CD274","MDSC"
"553","CR1","MDSC"
"554","CD40","MDSC"
"555","SPN","MDSC"
"556","CD44","MDSC"
"557","CEACAM8","MDSC"
"558","MT-CO2","MDSC"
"559","CR2","MDSC"
"560","CTR9","MDSC"
"561","EBP","MDSC"
"562","SUPT20H","MDSC"
"563","TMEM255B","MDSC"
"564","FCER2","MDSC"
"565","FCGRT","MDSC"
"566","FERMT3","MDSC"
"567","FLOT1","MDSC"
"568","FLT1","MDSC"
"569","GIMAP7","MDSC"
"570","GLI4","MDSC"
"571","GNA15","MDSC"
"572","GPR34","MDSC"
"573","GPSM3","MDSC"
"574","IDO1","MDSC"
"575","IKZF1","MDSC"
"576","IL13","MDSC"
"577","IL18BP","MDSC"
"578","IL1R1","MDSC"
"579","IL4R","MDSC"
"580","INPP5D","MDSC"
"581","ITGA3","MDSC"
"582","KDR","MDSC"
"583","KRIT1","MDSC"
"584","LGALS3","MDSC"
"585","MGAT4A","MDSC"
"586","NAIP","MDSC"
"587","NEK3","MDSC"
"588","NOG","MDSC"
"589","PARVG","MDSC"
"590","PDRG1","MDSC"
"591","PIK3R5","MDSC"
"592","PSAP","MDSC"
"593","PTGES2","MDSC"
"594","PTPRE","MDSC"
"595","RNASE1","MDSC"
"596","PRPF31","MDSC"
"597","S100A8","MDSC"
"598","S100A9","MDSC"
"599","SELPLG","MDSC"
"600","SLA","MDSC"
"601","SLC36A1","MDSC"
"602","SLC44A1","MDSC"
"603","ST8SIA4","MDSC"
"604","STAT3","MDSC"
"605","STAT6","MDSC"
"606","TBXAS1","MDSC"
"607","TFRC","MDSC"
"608","TGFB2","MDSC"
"609","TPP1","MDSC"
"610","VTCN1","MDSC"
