P056	P066	P069	P061	P072	P060	P077	P075	P058	P073	P065	P071	P078	P052	P053	P049	P054	P064	P070	P076	P059	P048	P003	P031	P008	P015	P017	P005	P057	P012	P006	P014	P004	P011	P010	P032	P051	P062	P067	P020	P023	P036	P002	P026	P055	P050	P030	P074	P009	P025	P007	P021	P022	P019	P029	P028	P027	P013	P045	P037	P042	P038	P034	P040	P039	P033	P044	P041	P043	P046	P016	P024	P035	P018
HALLMARK_NOTCH_SIGNALING	-0.0415883477413033	0.00569361975006781	0.0383931298032563	-0.0902986158249062	0.0779547170961254	0.0877939299986593	-0.0333460540432205	-0.0702999421483278	0.088877818310084	-0.341369843834856	0.134644845754446	0.216963140831997	-0.0466685681009892	0.0103793135357373	0.211340548192024	0.131837272486626	-0.191015776206032	0.0810748720923242	-0.217359759877317	-0.0472911145759233	0.362051705678887	-0.184553560506525	0.0645847894575585	-0.0238996790586053	-0.0069420578346506	0.0595953453802809	0.266825761126021	-0.10343931679039	0.0306662486545186	-0.0219826119054173	0.0899621285518483	0.0621530514785169	-0.237206482584839	0.0822460759624353	0.351086015333619	0.186823413134122	-0.0392669738252053	-0.105919106405788	0.264672817380957	0.218822140326197	0.0548726204479135	0.156928778216559	-0.0922434560699794	0.147767043300762	0.23749484749604	-0.0344945150107831	0.129176046468374	0.0928204739692302	-0.0591425045003072	0.26101126058378	-0.169610105307935	0.241519952118167	0.339169070049412	0.2026741819586	0.0576375590228548	0.163259674911548	-0.0653229387423036	-0.245281520214996	0.115759983303506	0.0394032402632027	0.212929307193851	-0.0254621448089959	0.263871759345331	0.218446674458484	-0.0234857988074143	-0.0793202791591785	0.0622154095956972	0.00265734137414395	0.117140469169285	0.0815839156948929	0.00171020764717817	0.101887838794684	0.0488713307451115	-0.0346828700989401
HALLMARK_ADIPOGENESIS	0.0151279971700415	-0.00812202779607175	-0.0579411602349298	-0.0957286121997571	-0.00925925751958434	0.132423233562987	-0.0380743874698503	0.302645038922728	0.0779243183360321	-0.106180901961919	0.219025323905194	-0.046205309304537	0.0396571788714435	0.205467639705457	-0.067740476208005	-0.149143559742785	0.200876151579048	0.223986324797014	0.328973213831883	-0.141247006193933	-0.0615564080790899	0.0952264085152121	0.248003594402301	0.237320798318564	0.189656779152704	0.0922935068285019	-0.0189670027206096	0.156069143357923	0.134455818358058	0.132619010309247	0.162530956325118	-0.0574001848113225	-0.177914704513289	0.22699907412733	0.0168704891029604	0.0106397968580195	-0.0298708958931229	-0.191583442440385	-0.0704371730782286	-0.172517140793771	-0.00189871618552336	0.152593441633522	0.139705105756267	0.139973791720455	-0.0594830792257989	0.0845373144238882	0.16467919293242	-0.0280864245163021	0.138906407493394	-0.0398191963405915	0.214904054558085	0.143628316407523	0.0741056245302819	-0.0544140477510672	0.20862580805296	0.0904127122495339	0.175005820923171	0.043347036392304	-0.214019674996096	-0.00365767771355992	-0.000727961754361119	0.0218156879467257	-0.0713342071734654	0.0875775554520021	0.00746595028525887	0.0960116654659148	0.12241326938633	0.241841366615515	-0.139776568210958	-0.00440978349699471	0.211763879951986	0.0930515658683918	0.0447635541926081	-0.0940403170574976
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.0833319358835011	-0.0340369747762383	-0.0679037619077742	0.0685440988879733	0.0843963770110695	0.0533395655564267	-0.0612271030187706	0.130532830618901	-0.0166864677338854	-0.000751051509061508	0.0765909061783642	0.103627969016498	0.0291891770555146	-0.0685309453623276	-0.0220159150273413	0.0479344635275552	0.0438589950392365	0.0783541550849436	0.001239297420843	-0.074044592200359	0.167443933533985	0.00409127451636887	0.0643215097153616	0.152202020906264	0.112082698225503	0.00759802877968248	0.120258395500359	0.0724095785274199	-0.0236706177433073	0.0948317558289772	0.1171631798911	0.0742191675090142	-0.0828522488370851	0.098112115533691	0.178323174138124	0.0230589773466367	-0.0530628369339035	-0.0456932892322477	-0.0192231498881835	0.093123166079597	-0.0113387337934692	0.106036783536048	0.110025620246118	0.128948124337452	0.0512683932535181	0.0283416344053164	0.0374056358033015	0.00778742314802848	0.050178601820453	0.0738478387528763	0.0828672911846883	0.121292592267909	0.0828036072389892	0.0927064120610287	0.18463596929373	0.140108819764637	0.165539043693835	0.0298529617339751	0.0134565555089975	-0.0269741523411908	0.041511756037296	0.0228759942390954	0.0105477688807983	0.179015596509434	0.0605604548123352	0.102524753374024	0.125553957171783	0.0925225802358941	0.0403145217464911	0.0423275610083427	0.115335060731929	0.0847949525537281	0.0370171318984564	-0.0235761096502936
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0357928330643674	-0.0322877058759831	-0.0672305632693786	0.0586959419493595	0.0598902813243703	-0.0118992940759195	-0.0653055179530735	0.142884340789082	-0.0962347892829685	0.0338672584515658	0.0598972356991386	0.0960516317918394	0.0756620766421347	-0.00772256978027359	-0.0143962537558702	-0.0183301812366484	0.103513430899865	0.130072113266016	0.0538330816688424	-0.0724971880092008	0.121150185491855	-0.0450513324323033	0.0770816565274473	0.133039611774334	0.104240635974442	0.00698514315886106	0.0832467139532191	0.0577523123485228	0.0105760090925233	0.105752808960965	0.0782019515386969	0.0624055275384719	0.00358694427098774	0.102868669321954	0.112971416420137	-0.0119075928300756	-0.025423743522844	-0.0555702229323359	-0.0900762756233621	-0.0299761232127385	0.0111725821662049	0.110724001976173	0.143011717005606	0.133469939767648	0.0113670564138297	0.000213987128570207	0.0567168878071358	0.0540301317467825	0.061205517509649	0.0594620889840664	0.057045024403366	0.119911333657485	0.116635177507358	0.0678256971351738	0.180601284882591	0.114805828422005	0.176248880330552	0.0703913008049276	-0.0427439696640388	-0.0121600927398102	0.0292380089863904	0.063829283894196	-0.0236136874304498	0.175931215426773	0.0178112596696001	0.1414527014247	0.128834184385322	0.166020044199053	0.00196463785845115	0.0516792986427433	0.102073825661118	0.0782665198355895	-0.00265788173894971	-0.0441557023126114
HALLMARK_ANDROGEN_RESPONSE	0.0791557908661358	0.0290813089338104	0.0413185390082403	-0.0332729560656616	0.080318754665643	0.0786139760656447	-0.10288918007067	0.260423941743987	0.111806710391737	-0.107159066512551	0.0679306246513984	0.0346374541442757	0.0348699992647203	0.165329729490241	-0.00120945763641107	-0.146989626111734	-0.00024547772932197	0.140648749102035	0.236582954826934	0.0901198191457585	0.0528642573481204	0.103518879053817	0.123380711791241	0.1586115912238	0.0625099540212145	0.0593044807539458	-0.0342289905250191	0.0914416489026052	0.136236356952264	0.0868777512151089	0.185790983130067	0.0741426022356172	-0.0901426783566434	0.191792832796365	0.096709756864257	0.0558258606698687	-0.128692156481943	-0.229346062367739	-0.18261302904648	0.0188226868130529	-0.0952622274603603	0.239972584238135	0.221310145748464	-0.0408531947055513	0.0381734249539533	0.126791922809867	0.226244365269077	-0.018619117241925	0.156719238930807	-0.0661635967020541	0.184623899637064	0.122089579812306	0.125146541745593	0.0734542721354674	0.0614620351456017	0.0789543993108736	0.131728256403379	0.0135980904509268	-0.0238376678984682	0.0357851770515212	-0.0808559931211893	-0.00243978310911571	-0.06691970284776	0.212009252600823	0.028479805700378	0.173322200784394	0.218605555754726	0.162775405935132	-0.0610599481424062	0.0141645182125065	0.0827775374453809	0.141783464912694	0.075441835719607	-0.128606741670597
HALLMARK_MYOGENESIS	0.144212909752742	0.0184678648216387	0.0348071342376132	-0.0201628562581405	0.00841221071386101	0.123321647053308	0.0485410273461297	0.119733699125673	0.155455923279115	-0.0461885541787792	0.0771968027980733	0.00424191364526764	-0.0213196639572358	0.0785425758031684	0.01797479404243	-0.0774264276852271	0.121314614177484	0.100996375725432	0.205440556158435	0.0436184782729445	0.0211394850636852	0.0381580960750687	0.0773141438050336	0.133106290776608	0.125992559455433	0.0408208536732477	0.0579876855325982	0.0772045936083823	0.140046720386096	0.0730556987567125	0.123678092447885	-0.0004778146691789	-0.0989036616587377	0.0939893963857198	0.0388957143459971	0.0689802107817541	0.0233437757610685	-0.0229740395438009	0.0606852297783273	-0.0682996810987046	-0.0132008203057689	0.0862771553713525	0.121984002734762	0.145563718933575	0.102548973978121	0.108013625077328	0.0738976391290586	0.121054896909374	0.0784636777744816	0.0315763384036027	0.0605965208318321	0.116228415873158	0.108933435207469	-0.0263545233206731	0.155252455571827	0.183790008044552	0.036551420815286	0.0718984067944832	-0.064711116392312	-0.0350951151348322	0.072218443852092	0.0348017163368265	-0.0260216784221427	0.200855233485649	0.0173525465346914	0.106152065123401	0.0387056876757531	0.107261666274721	-0.0278288783736927	0.00250261183182666	0.197059141762141	0.0394135572478435	-0.0241687458736991	-0.0491898791102253
HALLMARK_PROTEIN_SECRETION	0.0186757101465568	0.195579590418184	-0.113889335032895	-0.00507711829764856	0.0768779285682496	0.0841025669008619	-0.0869519611896119	0.12729935460671	-0.114754746608398	-0.0138394007237782	-0.0168045457281341	0.0438516356238172	0.130843987113196	0.122288613519864	-0.0402799847752792	-0.319859805060469	0.196125678386108	-0.0602143760161077	0.184338367256036	0.0120221423832248	-0.0947900890351272	0.0428592611710622	0.0757321796546646	0.136730917272524	0.153349784616787	0.220997691490392	0.194696249372852	0.00395267294292881	0.00130439820345139	0.124613569695213	0.102088228923752	0.0405780023786246	0.0609701669233964	0.026385547352487	0.115587648445108	0.004381139321369	-0.0876869597728655	-0.278622679271878	-0.189411898357409	-0.0171640155412429	0.151624006468261	0.127159771200238	0.128924842524009	0.184139376941247	-0.322424714868741	0.0216386012962686	0.113006481212493	-0.041794409005062	0.388497621011671	0.0602442741245505	0.120548712268997	0.139487268807489	0.0516684060403711	-0.148919643887546	0.0888495735874676	0.154360174489406	0.144848443417834	0.10491366888119	0.136195996254741	0.169713096110501	0.138516969206841	-0.175083134090351	0.128802640295694	0.127793426062543	-0.115142897189525	0.175810169584736	0.117419387967544	0.26257469430253	0.0239525986021311	-0.131642871549254	0.174625137827595	0.125831490907285	-0.0532084589056702	0.0538903570526654
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.134351753734172	0.0205811228413726	-0.264327185755701	0.340819083663522	-0.0195858283203336	0.289603880099878	-0.0166577224027416	0.194519928345384	0.0812310130928661	-0.198193008708211	0.341679671533868	0.0320099187043114	-0.0658271138765837	0.179612252953842	-0.201645295774457	-0.265273927169714	0.163196753528928	0.0272979790164033	0.366724305111149	-0.316279249183509	-0.272031507473204	0.0738248590052226	0.258310241897287	0.276561292644753	0.414172609518248	-0.0668114788613477	0.036112345541686	0.0409649161347313	-0.147895616232951	0.368354501827462	0.0772792217010425	-0.213736580293341	-0.325074268569772	0.126027184965422	0.224607820546316	0.103864324241889	-0.189935110119051	-0.322037684972262	-0.20484665558614	-0.285327566147761	-0.281088621140965	0.343720630047365	0.0587610851971612	0.102506670056936	-0.355298349756593	0.0297799526446515	0.287198570119039	-0.290503377995156	0.0682713321905868	0.287121251427753	0.171772652384651	0.0957935491008955	0.0733680575330906	0.316536250504378	0.192429135859545	-0.0246360161798862	0.269705970248891	-0.0119134092622183	-0.363269000516989	-0.114000576185539	0.0687036241968873	0.0114280728189979	-0.18186473383388	0.0554433012358688	0.036909376538175	0.281584925216408	0.124722346293772	0.338394055393433	-0.19452448100189	-0.00554564303842832	0.233723961930352	0.357190260579197	0.144737488075155	-0.348250483476125
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.0539415332537831	-0.0399237564393624	-0.0581655152647879	0.196399768534323	-0.0213014280107639	0.196246404706767	-0.126815212042748	0.315222849835061	0.0981636810039965	-0.247315841133281	0.313649558466261	0.0448224590502627	0.068018107659191	0.109682601957193	-0.165253037438369	-0.311201831518886	0.271670901099609	0.124382603109289	0.303059456516288	-0.302005635567438	-0.200266240032592	0.132334640271399	0.269904295554045	0.331721519649782	0.296292113594389	-0.117269451594797	0.111725685366684	0.0967602968778132	-0.00927234014406845	0.253407913734326	0.219988801496757	-0.0865370098061055	-0.31592860554171	0.245417639008122	0.144335384802531	0.0931194155228254	-0.156862442314501	-0.287736389556577	-0.160924876855223	-0.243046381492982	-0.226750930275552	0.266837112091165	0.0938026232688346	0.0327531249953035	-0.242001583497104	0.0710514415334908	0.293544157052169	-0.0689179401405351	0.128995670147159	0.10008605006801	0.252713139100017	0.152946889777239	0.0862559887309898	0.158853265187469	0.306231771975805	0.0463669179117556	0.236342912422817	-0.0323844572775803	-0.337632658873894	-0.0786373598064393	-0.00424329038241106	-0.0164211521144274	-0.169493740731773	0.0816298204340035	-0.0687766745663297	0.183087349130551	0.204555164809947	0.332302615395714	-0.190932804388307	-0.0686018888638274	0.192009208252894	0.270469904008581	0.0122260118726623	-0.263104228676284
HALLMARK_APICAL_JUNCTION	0.0436102636463095	0.0385694176363857	0.0320199827565539	-0.0147400043151252	0.0467937482693132	0.0449641044325109	0.016917554047666	0.13676300330752	0.0591358199673252	-0.000793778019177035	0.147200122090414	0.112993982463145	0.0410643558155704	0.0196242618751818	0.0230435439397801	-0.0194870545040644	0.103414108234909	0.159074170598464	0.105906979720417	0.0596798282231057	0.00445902919135031	0.0420034688827041	0.095977386272445	0.130982921313928	0.0586504905643992	0.0347582885516641	0.0807444362896176	-0.00291274188736304	0.0624894153874738	0.0625812820062584	0.0913740343934067	0.0172320649811955	-0.018526708880809	0.0939748095652108	0.0684520871789918	0.0384392345986445	0.0247649632333829	-0.0306855104015194	0.0544752331131973	0.0239074417842859	0.123216319614013	0.105086054535212	0.143387622148747	0.0807529460433175	0.0569893249489169	0.0431771325384605	0.107763066465567	0.0707555933800547	0.110475754972467	0.0383013616738382	0.0627114675885092	0.0952691818829153	0.077415546985775	0.00689252302552374	0.114242644930198	0.135592034827947	0.0827560957282207	0.0996750414804658	0.0325979987888384	0.0826674103689728	0.00874465477286093	0.0391907877582416	0.0257614909328892	0.143166310608651	0.0119464538034771	0.0443083321509991	0.0401184184769563	0.0864037494060373	0.030799447781213	-0.038453690256295	0.138933483794655	0.0449041532478083	0.0869600702288599	0.110091485349807
